,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Year,AvgCPIUSD,Budget2017,Gross2017,Gross-Budget2017,Action,ActionAdventure,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War,Western
835,Color,John Lasseter,117.0,95.0,487,1000.0,Madeline Kahn,18000.0,162792677,"Adventure, Animation, Comedy, Family, Fantasy",Kevin Spacey,A Bug's Life ,211226,24205,John Ratzenberger,0.0,"ant ,circus ,grasshopper ,misunderstanding ,overhearing",http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,317,English,USA,G,120000000,1998,1000.0,7.2,2.35,0,1998,163.0,179057668.7,242910643.6,63852974.85,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
836,Color,Nora Ephron,153.0,119.0,0,744.0,Jean Stapleton,15000.0,115731542,"Comedy, Drama, Romance",Tom Hanks,You've Got Mail ,151812,17768,Dave Chappelle,2.0,"bookstore ,competing businesses ,instant messaging ,new york city ,shop owner",http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,556,English,USA,PG,65000000,1998,793.0,6.5,1.85,0,1998,163.0,96989570.55,172688500.9,75698930.34,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
837,Color,Michael Bay,167.0,153.0,0,537.0,Steve Buscemi,13000.0,201573391,"Action, Adventure, Sci-Fi, Thriller",Bruce Willis,Armageddon ,322395,26029,Will Patton,0.0,"asteroid ,astronaut ,bomb ,meteorite ,outer space",http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,140000000,1998,12000.0,6.6,2.35,11000,1998,163.0,208900613.5,300777178.9,91876565.39,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
838,Color,Mimi Leder,125.0,120.0,75,3000.0,Jon Favreau,11000.0,140459099,"Action, Drama, Romance, Sci-Fi, Thriller",Morgan Freeman,Deep Impact ,135601,22750,Robert Duvall,0.0,"astronomer ,comet ,mission ,president ,secretary",http://www.imdb.com/title/tt0120647/?ref_=fn_tt_tt_1,493,English,USA,PG-13,75000000,1998,4000.0,6.1,2.35,0,1998,163.0,111911042.9,209585656.8,97674613.86,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
839,Color,Peter Weir,213.0,103.0,608,576.0,Noah Emmerich,2000.0,125603360,"Comedy, Drama, Sci-Fi",Natascha McElhone,The Truman Show ,667983,3698,Peter Krause,1.0,"controlled environment ,fictional reality show ,hidden camera ,innocence lost ,simulated reality",http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,877,English,USA,PG,60000000,1998,617.0,8.1,1.85,18000,1998,163.0,89528834.36,187418706.9,97889872.51,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
840,Color,Betty Thomas,73.0,85.0,84,595.0,Raven-Symon?,1000.0,144156464,"Comedy, Family, Fantasy",Oliver Platt,Doctor Dolittle ,74343,4166,Peter Boyle,0.0,"box office hit ,doctor ,dog ,first part ,tiger",http://www.imdb.com/title/tt0118998/?ref_=fn_tt_tt_1,98,English,USA,PG-13,71500000,1998,1000.0,5.3,1.85,694,1998,163.0,106688527.6,215102669.8,108414142.2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
841,Color,John Madden,134.0,123.0,108,239.0,Martin Clunes,1000.0,100241322,"Comedy, Drama, Romance",Tom Wilkinson,Shakespeare in Love ,175524,1690,Simon Callow,0.0,"actor ,audition ,muse ,playwright ,theater",http://www.imdb.com/title/tt0138097/?ref_=fn_tt_tt_1,752,English,USA,R,25000000,1998,264.0,7.2,2.35,0,1998,163.0,37303680.98,149574811.9,112271130.9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
842,Color,Igor Kovalyov,45.0,83.0,5,368.0,Cree Summer,971.0,100491683,"Adventure, Animation, Comedy, Drama, Family, Musical",Elizabeth Daily,The Rugrats Movie ,14005,3438,Christine Cavanaugh,0.0,"baby ,home ,hospital ,lost ,newborn baby",http://www.imdb.com/title/tt0134067/?ref_=fn_tt_tt_1,67,English,USA,G,24000000,1998,503.0,5.9,1.85,418,1998,163.0,35811533.74,149948387.4,114136853.6,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
843,Color,Tom Shadyac,55.0,115.0,293,878.0,Philip Seymour Hoffman,49000.0,135014968,"Biography, Comedy, Drama, Romance",Robin Williams,Patch Adams ,80580,74382,Monica Potter,1.0,"doctor ,hospital ,mental institution ,nurse ,student",http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,375,English,USA,PG-13,50000000,1998,22000.0,6.7,2.35,0,1998,163.0,74607361.96,201462211.8,126854849.8,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
844, Black and White,Frank Coraci,108.0,90.0,153,427.0,Clint Howard,11000.0,161487252,"Comedy, Sport",Adam Sandler,The Waterboy ,119450,13823,Peter Dante,0.0,"coach ,college ,college football ,domineering mother ,football",http://www.imdb.com/title/tt0120484/?ref_=fn_tt_tt_1,300,English,USA,PG-13,20000000,1998,1000.0,6.1,1.85,0,1998,163.0,29842944.79,240962757.2,211119812.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
845,Color,Steven Spielberg,219.0,169.0,14000,13000.0,Vin Diesel,15000.0,216119491,"Action, Drama, War",Tom Hanks,Saving Private Ryan ,881236,44998,Matt Damon,2.0,"army ,invasion ,killed in action ,normandy ,soldier",http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,2277,English,USA,R,70000000,1998,14000.0,8.6,1.85,22000,1998,163.0,104450306.7,322482101.8,218031795.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
846,Color,Bobby Farrelly,171.0,107.0,101,743.0,Lin Shaye,931.0,176483808,"Comedy, Romance",Sarah Silverman,There's Something About Mary ,247289,4664,Richard Tyson,1.0,"accident ,curtain call ,dream girl ,high school ,prom",http://www.imdb.com/title/tt0129387/?ref_=fn_tt_tt_1,611,English,USA,R,23000000,1998,852.0,7.1,1.85,0,1998,163.0,34319386.5,263339826.9,229020440.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
847,Color,Luc Besson,111.0,158.0,0,15.0,David Bailie,51.0,14131298,"Adventure, Biography, Drama, History, War",Paul Brooke,The Messenger: The Story of Joan of Arc ,55889,144,Rab Affleck,0.0,"cathedral ,dauphin ,france ,trial ,wartime rape",http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,390,English,France,R,390000000,1999,40.0,6.4,2.35,0,1999,166.6,569362545.0,20630337.93,-548732207.1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
848,Color,Barry Sonnenfeld,85.0,106.0,188,582.0,Salma Hayek,10000.0,113745408,"Action, Comedy, Sci-Fi, Western",Will Smith,Wild Wild West ,129601,15870,Bai Ling,2.0,"buddy movie ,general ,inventor ,steampunk ,utah",http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,English,USA,PG-13,170000000,1999,4000.0,4.8,1.85,0,1999,166.6,248183673.5,166057371.8,-82126301.72,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
849,Color,John McTiernan,85.0,102.0,323,241.0,Vladimir Kulich,845.0,32694788,"Action, Adventure, History",Tony Curran,The 13th Warrior ,101411,1815,Clive Russell,1.0,"arab ,battle ,combat ,viking ,warrior",http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,546,English,USA,R,85000000,1999,372.0,6.6,2.35,0,1999,166.6,124091836.7,47731250.52,-76360586.21,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
850,Color,Brad Bird,162.0,90.0,663,521.0,Harry Connick Jr.,14000.0,23159305,"Action, Adventure, Animation, Comedy, Drama, Family, Sci-Fi",Vin Diesel,The Iron Giant ,128455,16358,M. Emmet Walsh,1.0,"boy ,friend ,government agent ,maine ,robot",http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,514,English,USA,PG,70000000,1999,631.0,8.0,2.35,0,1999,166.6,102193277.3,33810361.12,-68382916.19,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
851,Color,Chris Columbus,93.0,132.0,0,957.0,Oliver Platt,49000.0,58220776,"Comedy, Drama, Sci-Fi",Robin Williams,Bicentennial Man ,87785,55254,John Michael Higgins,0.0,"23rd century ,android ,artificial intelligence ,dual role ,robot",http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1,362,English,USA,PG,100000000,1999,1000.0,6.8,1.85,0,1999,166.6,145990396.2,84996741.53,-60993654.63,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
852,Color,Michael Mann,209.0,157.0,0,680.0,Rip Torn,14000.0,28965197,"Biography, Drama, Thriller",Al Pacino,The Insider ,133526,18216,Debi Mazar,1.0,"cbs ,cbs news ,research ,tobacco ,whistleblower",http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1,521,English,USA,R,68000000,1999,826.0,7.9,2.35,0,1999,166.6,99273469.39,42286405.85,-56987063.54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
853,Color,Martin Scorsese,163.0,121.0,17000,245.0,Marc Anthony,12000.0,16640210,"Drama, Thriller",Nicolas Cage,Bringing Out the Dead ,53028,13040,Sonja Sohn,0.0,"ambulance ,ghost ,hell ,paramedic ,rescue",http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,382,English,USA,R,55000000,1999,368.0,6.8,2.35,0,1999,166.6,80294717.89,24293108.5,-56001609.39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
854, Black and White,Irwin Winkler,55.0,128.0,34,685.0,Nathan Lane,978.0,22326247,"Drama, Romance",Mira Sorvino,At First Sight ,11232,3821,Steven Weber,1.0,"based on article ,blindness ,box office flop ,massage therapist ,regaining sight",http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,106,English,USA,PG-13,60000000,1999,886.0,5.9,1.85,0,1999,166.6,87594237.7,32594176.44,-55000061.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
855,Color,Andy Tennant,91.0,148.0,72,99.0,Geoffrey Palmer,582.0,39251128,"Drama, History, Romance",Bai Ling,Anna and the King ,31080,804,Randall Duk Kim,2.0,"1860s ,children ,king ,schoolteacher ,siam",http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,217,English,USA,PG-13,75000000,1999,103.0,6.7,2.35,0,1999,166.6,109492797.1,57302877.26,-52189919.85,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
856,Color,Kinka Usher,125.0,121.0,18,776.0,Wes Studi,1000.0,29655590,"Action, Comedy, Fantasy, Sci-Fi",Janeane Garofalo,Mystery Men ,53970,3986,Eddie Izzard,4.0,"bowling ,rajah ,sphinx ,spleen ,superhero",http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,435,English,USA,PG-13,65000000,1999,855.0,6.0,1.85,0,1999,166.6,94893757.5,43294313.32,-51599444.18,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
857,Color,Ang Lee,95.0,148.0,0,0.0,Jeffrey Dover,3.0,630779,"Drama, Romance, War, Western",Jeremy W. Auman,Ride with the Devil ,11101,5,Tobey Maguire,0.0,"bushwhacker ,friend ,honor ,kansas ,raid",http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,159,English,USA,R,35000000,1999,2.0,6.8,2.35,633,1999,166.6,51096638.66,920876.7609999999,-50175761.89,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
858,Color,Sydney Pollack,96.0,133.0,521,970.0,Kristin Scott Thomas,11000.0,31054924,"Drama, Mystery, Romance",Harrison Ford,Random Hearts ,17025,16710,Bill Cobbs,1.0,"death ,plane crash ,police ,police sergeant ,politician",http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1,290,English,USA,R,64000000,1999,1000.0,5.1,1.85,295,1999,166.6,93433853.54,45337206.57,-48096646.97,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
859,Color,Ron Howard,115.0,122.0,2000,1000.0,Adam Goldberg,11000.0,22362500,"Comedy, Drama",Matthew McConaughey,Edtv ,35599,15275,Clint Howard,0.0,"female removes her clothes ,one word title ,producer ,television ,video store",http://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1,195,English,USA,PG-13,55000000,1999,1000.0,6.1,1.85,641,1999,166.6,80294717.89,32647102.34,-47647615.55,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
860,Color,Mike Newell,56.0,124.0,179,551.0,Kurt Fuller,11000.0,8406264,"Comedy, Drama, Romance",Angelina Jolie Pitt,Pushing Tin ,24826,13093,Jake Weber,3.0,"air traffic control ,air traffic controller ,female bodybuilder ,job ,marriage",http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,175,English,USA,R,38000000,1999,617.0,6.0,2.35,783,1999,166.6,55476350.54,12272338.12,-43204012.42,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
861,Color,Tim Robbins,70.0,132.0,0,876.0,Vanessa Redgrave,13000.0,2899970,Drama,Bill Murray,Cradle Will Rock ,8039,16878,Emily Watson,2.0,"1930s ,depression ,play ,theatre ,union",http://www.imdb.com/title/tt0150216/?ref_=fn_tt_tt_1,161,English,USA,R,32000000,1999,898.0,6.9,2.35,625,1999,166.6,46716926.77,4233677.691000001,-42483249.08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862,Color,Donald Petrie,49.0,94.0,80,230.0,Ray Walston,1000.0,36830057,"Comedy, Family, Sci-Fi",Steven Anthony Lawrence,My Favorite Martian ,10883,2151,Michael Lerner,2.0,"alien ,hidden camera ,martian ,reporter ,spaceship",http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1,73,English,USA,PG,65000000,1999,417.0,4.9,1.85,448,1999,166.6,94893757.5,53768346.12,-41125411.38,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
863,Color,David Cronenberg,196.0,115.0,0,716.0,Sarah Polley,1000.0,2840417,"Horror, Sci-Fi, Thriller",Jennifer Jason Leigh,eXistenZ ,77493,2990,Callum Rennie,0.0,"assassin ,game ,game designer ,pod ,virtual reality",http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,527,English,Canada,R,31000000,1999,900.0,6.8,1.85,6000,1999,166.6,45257022.81,4146736.0310000004,-41110286.78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
864,Color,Ulu Grosbard,54.0,106.0,22,613.0,Treat Williams,2000.0,13376506,Drama,Alexa PenaVega,The Deep End of the Ocean ,10413,4327,Jonathan Jackson,1.0,"basketball ,boy ,italian ,kidnapping a child ,reunion",http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,111,English,USA,PG-13,40000000,1999,642.0,6.3,1.85,579,1999,166.6,58396158.46,19528414.1,-38867744.36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
865,Color,David Fincher,315.0,151.0,21000,637.0,Meat Loaf,11000.0,37023395,Drama,Brad Pitt,Fight Club ,1347461,13209,Eugenie Bondurant,2.0,"anti establishment ,dark humor ,fighting ,multiple personality disorder ,surprise ending",http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,2968,English,USA,R,63000000,1999,783.0,8.8,2.35,48000,1999,166.6,91973949.58,54050601.03,-37923348.55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
866, Black and White,Lawrence Kasdan,65.0,112.0,759,933.0,Alfre Woodard,11000.0,4554569,"Comedy, Drama",Zooey Deschanel,Mumford ,8134,17873,Mary McDonnell,4.0,"college ,drugs ,patient ,psychologist ,secret",http://www.imdb.com/title/tt0140397/?ref_=fn_tt_tt_1,123,English,USA,R,28000000,1999,1000.0,6.9,2.35,209,1999,166.6,40877310.92,6649233.326,-34228077.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
867,Color,Rand Ravich,107.0,109.0,7,1000.0,Charlize Theron,40000.0,10654581,"Drama, Sci-Fi, Thriller",Johnny Depp,The Astronaut's Wife ,45497,52621,Clea DuVall,0.0,"astronaut ,electrocuted in bathtub ,mission ,pilot ,sister",http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,260,English,USA,R,34000000,1999,9000.0,5.3,1.85,1000,1999,166.6,49636734.69,15554665.01,-34082069.68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
868,Color,Rob Reiner,99.0,95.0,0,323.0,Tim Matheson,13000.0,27067160,"Comedy, Drama, Romance",Bruce Willis,The Story of Us ,18404,14706,Rita Wilson,1.0,"four word title ,husband wife relationship ,male rear nudity ,marriage ,summer camp",http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,150,English,USA,R,50000000,1999,559.0,5.9,1.85,0,1999,166.6,72995198.08,39515454.11,-33479743.97,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
869,Color,Hugh Johnson,68.0,102.0,3,239.0,Kevin J. O'Connor,372.0,11227940,"Action, Adventure, Comedy, Drama, Thriller",David Paymer,Chill Factor ,8367,1274,Hudson Leick,0.0,"colonel ,ice ,ice cream truck ,military ,u.s. army",http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,94,English,USA,R,34000000,1999,248.0,5.2,2.35,120,1999,166.6,49636734.69,16391714.09,-33245020.61,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
870,Color,Scott Hicks,95.0,127.0,96,577.0,Reeve Carney,746.0,14378353,"Drama, Mystery, Romance, Thriller",Rick Yune,Snow Falling on Cedars ,12375,2393,Daniel von Bargen,1.0,"fisherman ,japanese ,love ,trial ,washington state",http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1,194,English,USA,PG-13,36000000,1999,602.0,6.8,2.35,846,1999,166.6,52556542.62,20991014.51,-31565528.11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
871,Color,John Duigan,16.0,102.0,18,186.0,Jill Hennessy,670.0,15593,"Comedy, Drama, Romance",Elaine Hendrix,Molly ,2295,1562,Sarah Wynter,1.0,"autism ,experimental surgery ,female nudity ,forename as title ,regression",http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,40,English,USA,PG-13,21000000,1999,419.0,5.8,1.85,284,1999,166.6,30657983.19,22764.28247,-30635218.91,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
872,Color,Jon Turteltaub,100.0,126.0,226,241.0,Maura Tierney,12000.0,34098563,"Drama, Thriller",Anthony Hopkins,Instinct ,27191,13406,John Ashton,1.0,"africa ,anthropologist ,murder ,poacher ,psychiatrist",http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1,232,English,USA,R,55000000,1999,509.0,6.5,2.35,0,1999,166.6,80294717.89,49780627.21,-30514090.68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
873,Color,James Algar,129.0,74.0,11,62.0,Penn Jillette,340.0,60507228,"Animation, Family, Fantasy, Music",Quincy Jones,Fantasia 2000 ,27543,814,Russi Taylor,0.0,"abstract ,ark ,disney ,fairy tale ,piano",http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1,186,English,USA,G,80000000,1999,243.0,7.3,1.78,607,1999,166.6,116792316.9,88334741.86,-28457575.07,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
874,Color,Roman Polanski,172.0,133.0,2000,541.0,Frank Langella,40000.0,18653746,"Mystery, Thriller",Johnny Depp,The Ninth Gate ,137722,42344,Lena Olin,1.0,"bare butt ,gnosticism ,lucifer ,rare book ,sex",http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,638,English,Spain,R,38000000,1999,903.0,6.7,2.35,0,1999,166.6,55476350.54,27232677.68,-28243672.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
875,Color,Jay Roach,74.0,119.0,116,385.0,Mary McCormack,738.0,8888143,"Comedy, Drama, Sport",Scott Grimes,"Mystery, Alaska ",22250,2171,Ron Eldard,0.0,"alaska ,male nudity ,nudity ,sex ,small town",http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1,123,English,Canada,R,28000000,1999,428.0,6.7,2.35,913,1999,166.6,40877310.92,12975835.18,-27901475.75,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
876,Color,Chris Roberts,85.0,100.0,38,362.0,David Suchet,811.0,11576087,"Action, Adventure, Sci-Fi",Saffron Burrows,Wing Commander ,14747,2497,J?_rgen Prochnow,3.0,"27th century ,fighter pilot ,orchestral music score ,outer space ,space opera",http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,338,English,USA,PG-13,30000000,1999,586.0,4.1,2.35,858,1999,166.6,43797118.85,16899975.27,-26897143.58,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
877,Color,Neil Jordan,62.0,100.0,277,210.0,Aidan Quinn,21000.0,11900000,"Drama, Fantasy, Thriller",Robert Downey Jr.,In Dreams ,11003,22006,Paul Guilfoyle,0.0,"dream ,mental institution ,padded cell ,serial killer ,suicide attempt",http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,148,English,USA,R,30000000,1999,767.0,5.5,1.85,654,1999,166.6,43797118.85,17372857.14,-26424261.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
878,Color,Milos Forman,140.0,118.0,869,21.0,Gerry Becker,134.0,34580635,"Biography, Comedy, Drama",Matt Price,Man on the Moon ,100743,209,Tom Dreesen,1.0,"andy kaufman ,comedian ,eccentric ,wrestler ,wrestling",http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,549,English,UK,R,52000000,1999,27.0,7.4,2.35,0,1999,166.6,75915006.0,50484406.03,-25430599.97,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
879,Color,Peter Hyams,174.0,121.0,0,595.0,Mark Margolis,1000.0,66862068,"Action, Fantasy, Horror, Mystery",CCH Pounder,End of Days ,89509,3903,Udo Kier,0.0,"atheist ,ex cop ,female masturbation ,female nudity ,lucifer",http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1,524,English,USA,R,83000000,1999,1000.0,5.7,2.35,2000,1999,166.6,121172028.8,97612197.95,-23559830.86,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
880,Color,Rodman Flender,59.0,92.0,6,577.0,Fred Willard,890.0,4002955,"Comedy, Fantasy, Horror, Thriller",Vivica A. Fox,Idle Hands ,33745,3654,Elden Henson,0.0,"breasts ,female frontal nudity ,nude woman murdered ,slow motion scene ,trailer home",http://www.imdb.com/title/tt0138510/?ref_=fn_tt_tt_1,198,English,USA,R,20000000,1999,729.0,6.2,1.85,0,1999,166.6,29198079.23,5843929.863,-23354149.37,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
881,Color,Ron Shelton,73.0,124.0,41,197.0,Robert Wagner,512.0,8427204,"Comedy, Drama, Sport",Willie Garson,Play It to the Bone ,10100,1523,Lolita Davidovich,0.0,"boxing movie ,friendship ,highway travel ,male rear nudity ,road movie",http://www.imdb.com/title/tt0196857/?ref_=fn_tt_tt_1,59,English,USA,R,24000000,1999,481.0,5.4,2.35,153,1999,166.6,35037695.08,12302908.5,-22734786.57,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
882,Color,Jonathan Kaplan,70.0,100.0,57,92.0,Tom Amandes,181.0,10114315,"Drama, Mystery, Thriller",John Doe,Brokedown Palace ,18693,582,Daniel Lapaine,0.0,"bangkok ,friend ,lawyer ,smuggling ,thailand",http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,187,English,USA,PG-13,25000000,1999,151.0,6.4,2.35,0,1999,166.6,36497599.04,14765928.54,-21731670.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
883,Color,James Foley,91.0,110.0,164,45.0,Paul Ben-Victor,258.0,15156200,"Action, Crime, Drama, Mystery, Thriller",Byron Mann,The Corruptor ,15358,571,Kim Chan,2.0,"chinatown ,illegal immigrant ,new york ,police ,triad",http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,131,English,USA,R,30000000,1999,218.0,6.0,2.35,328,1999,166.6,43797118.85,22126596.42,-21670522.42,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
884,Color,Sam Raimi,113.0,137.0,0,432.0,Kelly Preston,24000.0,35168395,"Drama, Romance, Sport",J.K. Simmons,For Love of the Game ,26034,25469,Carmine Giovinazzo,0.0,"baseball ,baseball movie ,detroit tigers ,perfect game ,pitcher",http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,226,English,USA,PG-13,50000000,1999,743.0,6.5,2.35,0,1999,166.6,72995198.08,51342479.18,-21652718.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
885,Color,Paul Thomas Anderson,224.0,188.0,0,272.0,Neil Flynn,786.0,22450975,Drama,Patton Oswalt,Magnolia ,241030,1906,Jim Meskimen,1.0,"abusive father ,coincidence ,fictional game show ,fictional quiz show ,multiple storyline",http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,1437,English,USA,R,37000000,1999,625.0,8.0,2.35,13000,1999,166.6,54016446.58,32776267.34,-21240179.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
886,Color,Mic Rodgers,75.0,83.0,7,485.0,Daniel von Bargen,2000.0,10431220,"Action, Sci-Fi",Michael Jai White,Universal Soldier: The Return ,24216,4024,Xander Berkeley,0.0,"combat ,computer ,general ,military ,reporter",http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,162,English,USA,R,24000000,1999,577.0,4.1,1.85,401,1999,166.6,35037695.08,15228579.4,-19809115.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
887,Color,Antonio Banderas,28.0,111.0,0,617.0,Elizabeth Perkins,783.0,1954202,"Comedy, Crime, Drama",Meat Loaf,Crazy in Alabama ,5917,4834,Noah Emmerich,0.0,"abusive husband ,alabama ,boy ,dream ,sheriff",http://www.imdb.com/title/tt0142201/?ref_=fn_tt_tt_1,71,English,USA,PG-13,15000000,1999,664.0,6.3,2.35,391,1999,166.6,21898559.42,2852947.242,-19045612.18,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
888,Color,Neil Jordan,90.0,102.0,277,57.0,Ian Hart,327.0,10660147,"Drama, Romance",Stephen Rea,The End of the Affair ,17740,672,James Bolam,0.0,"breasts ,jealousy ,obsession ,sex scene ,spiritual",http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,165,English,UK,R,23000000,1999,261.0,7.2,1.85,0,1999,166.6,33577791.12,15562790.84,-18015000.28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
